taxlevel	rankID	taxon	daughterlevels	total	A1_T1_3m	A1_T26_0m	A1_T26_3m	A1_T2_0m	A1_T2_3m	A1_T33_0m	A1_T33_3m	A1_T40_0m	A1_T40_3m	A1_T47_0m	A1_T47_3m	A1_T54_0m	A1_T54_3m	A1_T61_0m	A1_T61_3m	A2_T1_0m	A2_T1_3m	A2_T26_0m	A2_T26_3m	A2_T2_0m	A2_T2_3m	A2_T33_0m	A2_T33_3m	A2_T40_0m	A2_T40_3m	A2_T47_0m	A2_T47_3m	A2_T54_0m	A2_T54_3m	A2_T61_0m	A2_T61_3m	A3_T1_0m	A3_T1_3m	A3_T26_0m	A3_T26_3m	A3_T2_0m	A3_T2_3m	A3_T33_0m	A3_T33_3m	A3_T40_0m	A3_T40_3m	A3_T47_0m	A3_T47_3m	A3_T54_0m	A3_T54_3m	A3_T61_0m	A3_T61_3m	A4_T1_0m	A4_T1_3m	A4_T26_0m	A4_T26_3m	A4_T2_0m	A4_T2_3m	A4_T33_0m	A4_T33_3m	A4_T40_0m	A4_T40_3m	A4_T47_0m	A4_T47_3m	A4_T54_0m	A4_T54_3m	A4_T61_0m	A4_T61_3m	A5_T1_0m	A5_T1_3m	A5_T26_0m	A5_T26_3m	A5_T2_0m	A5_T2_3m	A5_T33_0m	A5_T33_3m	A5_T40_0m	A5_T40_3m	A5_T47_0m	A5_T47_3m	A5_T54_0m	A5_T54_3m	A5_T61_0m	A5_T61_3m	A6_T1_0m	A6_T1_3m	A6_T26_0m	A6_T26_3m	A6_T2_0m	A6_T2_3m	A6_T33_0m	A6_T33_3m	A6_T40_0m	A6_T40_3m	A6_T47_0m	A6_T47_3m	A6_T54_0m	A6_T54_3m	A6_T61_0m	A6_T61_3m	Negative
6	0.1.2.2.3.1.1	Neogregarinorida_ge	0	153441	453	744	239	528	1510	38	329	2454	1083	31	873	75	618	38	483	183	598	99	1023	1533	1648	1587	5585	139	4468	108	6441	793	2762	240	1025	878	3198	1933	987	1175	2246	1761	2461	1965	1478	435	707	14786	2019	4291	1039	1539	633	3307	276	1162	3733	1458	4642	1615	718	11	69	542	1553	288	1393	3012	1488	4089	267	3971	8508	346	591	810	927	162	3477	1508	3789	1323	1003	412	855	0	431	1297	3695	3032	1968	152	690	47	229	83	954	1144	1154	1
2	0.1.3	Arthropoda	5	58255	78	93	124	51	19	3	74	738	590	2	55	0	512	127	41	79	105	4827	665	4	90	0	25	191	1627	1	1998	7	393	0	1226	136	22	1573	2	5642	158	829	105	2	49	9	357	0	2	626	334	1	18	1	16	1908	35	31	150	3	2744	26	418	2	343	98	186	297	28	9	7327	136	10	297	12	366	70	98	3	1	635	5095	30	191	71	51	1628	0	1738	1	3369	14	814	4	174	3	4590	0	1622	0
3	0.1.3.1	Arachnida	4	19635	19	5	9	1	0	2	0	0	3	0	0	0	402	0	9	68	39	0	385	1	63	0	23	0	1448	0	1449	2	191	0	8	102	11	0	0	98	16	0	12	0	1	1	12	0	0	11	212	1	2	0	8	600	23	1	127	0	290	0	14	2	297	36	117	286	8	0	4	30	8	220	0	0	28	0	1	0	34	0	18	49	52	8	1068	0	1671	0	3124	0	576	4	174	1	4567	0	1583	0
4	0.1.3.1.1	Acari_or	1	19143	2	0	8	1	0	0	0	0	3	0	0	0	369	0	9	59	39	0	379	1	40	0	15	0	1436	0	1448	2	117	0	8	102	11	0	0	95	4	0	12	0	1	0	10	0	0	0	188	1	2	0	8	600	23	1	122	0	271	0	14	0	158	0	117	286	8	0	4	28	1	220	0	0	28	0	1	0	34	0	18	49	51	8	1039	0	1671	0	3123	0	575	0	174	0	4566	0	1583	0
5	0.1.3.1.1.1	Acari_fa	1	19143	2	0	8	1	0	0	0	0	3	0	0	0	369	0	9	59	39	0	379	1	40	0	15	0	1436	0	1448	2	117	0	8	102	11	0	0	95	4	0	12	0	1	0	10	0	0	0	188	1	2	0	8	600	23	1	122	0	271	0	14	0	158	0	117	286	8	0	4	28	1	220	0	0	28	0	1	0	34	0	18	49	51	8	1039	0	1671	0	3123	0	575	0	174	0	4566	0	1583	0
6	0.1.3.1.1.1.1	Acari_ge	0	19143	2	0	8	1	0	0	0	0	3	0	0	0	369	0	9	59	39	0	379	1	40	0	15	0	1436	0	1448	2	117	0	8	102	11	0	0	95	4	0	12	0	1	0	10	0	0	0	188	1	2	0	8	600	23	1	122	0	271	0	14	0	158	0	117	286	8	0	4	28	1	220	0	0	28	0	1	0	34	0	18	49	51	8	1039	0	1671	0	3123	0	575	0	174	0	4566	0	1583	0
4	0.1.3.1.2	Arachnida_unclassified	1	387	17	0	0	0	0	0	0	0	0	0	0	0	20	0	0	9	0	0	6	0	23	0	8	0	12	0	1	0	74	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	5	0	0	0	0	0	0	0	5	0	19	0	0	2	139	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	0	1	0	0	0	0	0	1	0	0	0
5	0.1.3.1.2.1	Arachnida_unclassified	1	387	17	0	0	0	0	0	0	0	0	0	0	0	20	0	0	9	0	0	6	0	23	0	8	0	12	0	1	0	74	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	5	0	0	0	0	0	0	0	5	0	19	0	0	2	139	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	0	1	0	0	0	0	0	1	0	0	0
6	0.1.3.1.2.1.1	Arachnida_unclassified	0	387	17	0	0	0	0	0	0	0	0	0	0	0	20	0	0	9	0	0	6	0	23	0	8	0	12	0	1	0	74	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	5	0	0	0	0	0	0	0	5	0	19	0	0	2	139	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	0	1	0	0	0	0	0	1	0	0	0
4	0.1.3.1.3	Araneae	1	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
