"sampleName","taxon","distance","degdays","counts","fracBySample"
"A1_T33_0m","Insecta_unclassified","0m",930,0,0
"A1_T33_0m","Leptosphaeriaceae","0m",930,0,0
"A1_T33_0m","Mammalia_fa","0m",930,6,0.000511465348222658
"A1_T33_0m","Monhysterida_fa","0m",930,0,0
"A1_T33_0m","Mortierellaceae","0m",930,32,0.00272781519052084
"A1_T33_0m","Mucoraceae","0m",930,381,0.0324780496121388
"A1_T33_0m","Neogregarinorida","0m",930,38,0.0032392805387435
"A1_T33_0m","Ochrophyta_unclassified","0m",930,10,0.000852442247037763
"A1_T33_0m","Opiliones_fa","0m",930,2,0.000170488449407553
"A1_T33_0m","Peronosporomycetes_fa","0m",930,16,0.00136390759526042
"A1_T33_0m","Piptocephalidaceae","0m",930,145,0.0123604125820476
"A1_T33_0m","Pleosporales_unclassified","0m",930,0,0
"A1_T33_0m","Poales_fa","0m",930,0,0
"A1_T33_0m","Rare","0m",930,75,0.00639331685278322
"A1_T33_0m","Rhabditida_fa","0m",930,4,0.000340976898815105
"A1_T33_0m","Rhizaspididae","0m",930,0,0
"A1_T33_0m","Sphaeropleales_fa","0m",930,1,8.52442247037763e-05
"A1_T33_0m","Trichosporonaceae","0m",930,5369,0.457676242434575
"A1_T33_0m","Ustilaginaceae","0m",930,0,0
"A1_T33_3m","Acari_fa","3m",930,0,0
"A1_T33_3m","Agaricomycetes_unclassified","3m",930,0,0
"A1_T33_3m","Araeolaimida_fa","3m",930,124,0.117758784425451
"A1_T33_3m","Ascaridida_fa","3m",930,127,0.120607787274454
"A1_T33_3m","Asterales_fa","3m",930,0,0
"A1_T33_3m","Bacillariophyceae","3m",930,3,0.00284900284900285
"A1_T33_3m","Ceratobasidiaceae","3m",930,0,0
"A1_T33_3m","Chromadorea_unclassified","3m",930,3,0.00284900284900285
"A1_T33_3m","Chromulinales_fa","3m",930,91,0.0864197530864197
"A1_T33_3m","Cladosporiaceae","3m",930,0,0
"A1_T33_3m","Coleoptera_fa","3m",930,0,0
"A1_T33_3m","Collembola_fa","3m",930,5,0.00474833808167141
"A1_T33_3m","Conthreep_unclassified","3m",930,1,0.000949667616334283
"A1_T33_3m","Didymellaceae","3m",930,3,0.00284900284900285
"A1_T33_3m","Diptera_fa","3m",930,0,0
"A1_T33_3m","Dorylaimida_fa","3m",930,1,0.000949667616334283
"A1_T33_3m","Dothideomycetes_unclassified","3m",930,0,0
"A1_T33_3m","Eukaryota_unclassified","3m",930,16,0.0151946818613485
"A1_T33_3m","Eustigmatales_fa","3m",930,4,0.00379867046533713
"A1_T33_3m","Haplotaxida_fa","3m",930,0,0
"A1_T33_3m","Haptoria","3m",930,26,0.0246913580246914
"A1_T33_3m","Helotiaceae","3m",930,0,0
"A1_T33_3m","Herpotrichiellaceae","3m",930,0,0
"A1_T33_3m","Hymenoptera_fa","3m",930,0,0
"A1_T33_3m","Hypotrichia","3m",930,42,0.0398860398860399
"A1_T33_3m","Incertae_Sedis","3m",930,0,0
"A1_T33_3m","Insecta_unclassified","3m",930,1,0.000949667616334283
"A1_T33_3m","Leptosphaeriaceae","3m",930,0,0
"A1_T33_3m","Monhysterida_fa","3m",930,10,0.00949667616334283
"A1_T33_3m","Mortierellaceae","3m",930,2,0.00189933523266857
"A1_T33_3m","Neogregarinorida","3m",930,329,0.312440645773979
"A1_T33_3m","Ochromonadales_fa","3m",930,1,0.000949667616334283
"A1_T33_3m","Ochrophyta_unclassified","3m",930,6,0.0056980056980057
"A1_T33_3m","Oligohymenophorea","3m",930,12,0.0113960113960114
"A1_T33_3m","Peronosporomycetes_fa","3m",930,107,0.101614434947768
"A1_T33_3m","Pleosporales_unclassified","3m",930,1,0.000949667616334283
"A1_T33_3m","Poales_fa","3m",930,3,0.00284900284900285
"A1_T33_3m","Rare","3m",930,125,0.118708452041785
"A1_T33_3m","Rhizaspididae","3m",930,4,0.00379867046533713
"A1_T33_3m","Sphaeropleales_fa","3m",930,6,0.0056980056980057
"A1_T33_3m","Trichosporonaceae","3m",930,0,0
"A1_T33_3m","Ustilaginaceae","3m",930,0,0
"A1_T40_0m","Acari_fa","0m",1130,0,0
"A1_T40_0m","Araeolaimida_fa","0m",1130,0,0
"A1_T40_0m","Ascaridida_fa","0m",1130,53,0.00756170637751462
"A1_T40_0m","Ascomycota_unclassified","0m",1130,62,0.00884576972463975
"A1_T40_0m","Aspergillaceae","0m",1130,10,0.00142673705236125
"A1_T40_0m","Ceratobasidiaceae","0m",1130,0,0
"A1_T40_0m","Cercomonadidae_fa","0m",1130,2,0.00028534741047225
"A1_T40_0m","Chromadorea_unclassified","0m",1130,0,0
"A1_T40_0m","Chromulinales_fa","0m",1130,19,0.00271080039948637
"A1_T40_0m","Coleoptera_fa","0m",1130,736,0.105007847053788
"A1_T40_0m","Collembola_fa","0m",1130,0,0
"A1_T40_0m","Debaryomycetaceae","0m",1130,3,0.000428021115708375
"A1_T40_0m","Didymellaceae","0m",1130,0,0
"A1_T40_0m","Dipodascaceae","0m",1130,646,0.0921672135825367
"A1_T40_0m","Diptera_fa","0m",1130,0,0
"A1_T40_0m","Dorylaimida_fa","0m",1130,0,0
"A1_T40_0m","Echinamoebida_fa","0m",1130,0,0
"A1_T40_0m","Eukaryota_unclassified","0m",1130,59,0.00841774860893137
"A1_T40_0m","Eustigmatales_fa","0m",1130,0,0
"A1_T40_0m","Haplotaxida_fa","0m",1130,0,0
"A1_T40_0m","Haptoria","0m",1130,12,0.0017120844628335
"A1_T40_0m","Herpotrichiellaceae","0m",1130,0,0
"A1_T40_0m","Hypotrichia","0m",1130,0,0
"A1_T40_0m","Insecta_unclassified","0m",1130,2,0.00028534741047225
"A1_T40_0m","Leptosphaeriaceae","0m",1130,0,0
"A1_T40_0m","Mammalia_fa","0m",1130,4,0.0005706948209445
"A1_T40_0m","Monhysterida_fa","0m",1130,0,0
"A1_T40_0m","Mortierellaceae","0m",1130,0,0
"A1_T40_0m","Mucoraceae","0m",1130,3,0.000428021115708375
"A1_T40_0m","Neogregarinorida","0m",1130,2454,0.350121272649451
"A1_T40_0m","Ochrophyta_unclassified","0m",1130,3,0.000428021115708375
"A1_T40_0m","Opiliones_fa","0m",1130,0,0
"A1_T40_0m","Peronosporomycetes_fa","0m",1130,6,0.00085604223141675
"A1_T40_0m","Piptocephalidaceae","0m",1130,0,0
"A1_T40_0m","Pleosporales_unclassified","0m",1130,0,0
"A1_T40_0m","Poales_fa","0m",1130,0,0
"A1_T40_0m","Rare","0m",1130,34,0.00485090597802825
"A1_T40_0m","Rhabditida_fa","0m",1130,0,0
"A1_T40_0m","Rhizaspididae","0m",1130,15,0.00214010557854187
"A1_T40_0m","Sphaeropleales_fa","0m",1130,0,0
"A1_T40_0m","Trichosporonaceae","0m",1130,2883,0.411328292195748
"A1_T40_0m","Ustilaginaceae","0m",1130,3,0.000428021115708375
"A1_T40_3m","Acari_fa","3m",1130,3,0.000427533133817871
"A1_T40_3m","Agaricomycetes_unclassified","3m",1130,36,0.00513039760581445
"A1_T40_3m","Araeolaimida_fa","3m",1130,237,0.0337751175716118
"A1_T40_3m","Ascaridida_fa","3m",1130,1247,0.177711272623628
"A1_T40_3m","Asterales_fa","3m",1130,0,0
"A1_T40_3m","Bacillariophyceae","3m",1130,5,0.000712555223029785
"A1_T40_3m","Ceratobasidiaceae","3m",1130,0,0
"A1_T40_3m","Chromadorea_unclassified","3m",1130,24,0.00342026507054297
"A1_T40_3m","Chromulinales_fa","3m",1130,438,0.0624198375374092
"A1_T40_3m","Cladosporiaceae","3m",1130,2,0.000285022089211914
"A1_T40_3m","Coleoptera_fa","3m",1130,0,0
"A1_T40_3m","Collembola_fa","3m",1130,583,0.0830839390052729
"A1_T40_3m","Conthreep_unclassified","3m",1130,15,0.00213766566908935
"A1_T40_3m","Didymellaceae","3m",1130,16,0.00228017671369531
"A1_T40_3m","Diptera_fa","3m",1130,0,0
"A1_T40_3m","Dorylaimida_fa","3m",1130,29,0.00413282029357275
"A1_T40_3m","Dothideomycetes_unclassified","3m",1130,3,0.000427533133817871
"A1_T40_3m","Eukaryota_unclassified","3m",1130,243,0.0346301838392475
